Severity,CVSS,Issue,Ports,OID,CVE,Affected Devices,Number of Device(s),Last Detected,Known Exploited Vulnerability,Summary,Vulnerability Detection Result,Impact,Solution,Vulnerability Insight,Vulnerability Detection Method,References,Known To Be Used In Ransomware Campaigns,ingestion_error_reason
High,7.5,"Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSL/TLS, D(HE)ater)","443/tcp (https),3389/tcp,8000/tcp,8080/tcp (http-alt),5986/tcp,636/tcp (ldaps)",1.3.6.1.4.1.25623.1.0.117840,"CVE-2002-20001, CVE-2022-40735","172.16.11.98 (00:60:16:89:76:2C),test.rpi.reliableparts.com (172.16.11.97 / 00:60:16:8B:10:4C),usx01vsdb2bpoc1.rpi.reliableparts.com (172.16.11.147 / 00:50:56:BB:A4:0B),usx01vsptomct04.rpi.reliableparts.com (172.16.11.141 / 00:50:56:BB:51:A3),usx01vsptomct06.rpi.reliableparts.com (172.16.11.139 / 00:50:56:BB:1C:D8),usx01vspwf01.rpi.reliableparts.com (172.16.11.121 / 00:50:56:BB:49:EE),172.16.11.64 (00:50:56:BB:33:E4),usx01vspapch04.rpi.reliableparts.com (172.16.11.136 / 00:50:56:BB:06:62),usx01vsdrpl01.rpi.reliableparts.com (172.16.11.54 / 00:0C:29:BB:22:63),172.16.11.156 (00:50:56:AD:36:01),172.16.11.105 (00:50:56:BB:F1:3E),usx01vsptomct05.rpi.reliableparts.com (172.16.11.144 / 00:50:56:BB:F5:48),usx01vspwfrpt01.rpi.reliableparts.com (172.16.11.27 / 00:50:56:BB:3C:CC),usx01vspflyn01.rpi.reliableparts.com (172.16.11.101 / 00:50:56:BB:BA:64),usx01vspwmsgw8.rpi.reliableparts.com (172.16.11.179 / 00:50:56:BB:A6:33),usx01vsuapcms01.rpi.reliableparts.com (172.16.11.107 / 00:50:56:AD:98:1B),usx01vsdwmsapp7.rpi.reliableparts.com (172.16.11.127 / 00:50:56:BB:5A:0C),usx01vspsmtp02.rpi.reliableparts.com (172.16.11.123 / 00:50:56:BB:2E:B0),usx01vspintr02.rpi.reliableparts.com (172.16.11.28 / 00:50:56:AD:85:39),usx01vsdlatts01.rpi.reliableparts.com (172.16.11.126 / 00:50:56:BB:12:8D),usx01vspwmsgw2.rpi.reliableparts.com (172.16.11.131 / 00:50:56:BB:EC:7A),usx01vsptom04.rpi.reliableparts.com (172.16.11.140 / 00:50:56:BB:46:66),usx01vsdtomct01.rpi.reliableparts.com (172.16.11.114 / 00:50:56:AD:2C:E7),usx01vspwmsts2.rpi.reliableparts.com (172.16.11.128 / 00:50:56:BB:B1:8A),usx01vspwmsgw5.rpi.reliableparts.com (172.16.11.143 / 00:50:56:BB:85:A9),usx01vspwmsws2.rpi.reliableparts.com (172.16.11.130 / 00:50:56:BB:D5:08),usx01vspadmgr02.rpi.reliableparts.com (172.16.11.103 / 00:50:56:BB:B9:35),usx01vsdwmsapp8.rpi.reliableparts.com (172.16.11.135 / 00:50:56:BB:67:73),usx01vsuapcms02.rpi.reliableparts.com (172.16.11.68 / 00:50:56:BB:E1:01),usx01vspviz01.rpi.reliableparts.com (172.16.11.191 / 00:50:56:BB:57:00),usx01vspdc01.rpi.reliableparts.com (172.16.11.11 / 00:50:56:BB:6C:AF),usx01vspwmsgw3.rpi.reliableparts.com (172.16.11.133 / 00:50:56:BB:56:86),usx01vsptom03.rpi.reliableparts.com (172.16.11.138 / 00:50:56:BB:03:10),usx01vsplmsws1.rpi.reliableparts.com (172.16.11.142 / 00:50:56:BB:C0:A0),usx01vspwmsws1.rpi.reliableparts.com (172.16.11.129 / 00:50:56:BB:C2:F0),usx01vspfs02.rpi.reliableparts.com (172.16.11.102 / 00:50:56:BB:EE:FC),usx01vspvcon01.rpi.reliableparts.com (172.16.11.124 / 00:50:56:BB:59:23),usx01vspwmsgw7.rpi.reliableparts.com (172.16.11.172 / 00:50:56:BB:AD:BB),usx01vspwmsts1.rpi.reliableparts.com (172.16.11.104 / 00:50:56:BB:C3:A9),usx01vspprnt06.rpi.reliableparts.com (172.16.11.178 / 00:50:56:BB:1E:5A),usx01vspnpdf01.rpi.reliableparts.com (172.16.11.69 / 00:50:56:AD:E7:0E),usx01vspwmsgw4.rpi.reliableparts.com (172.16.11.134 / 00:50:56:BB:CB:92),172.16.11.181 (00:50:56:BB:33:E4),usx01vsdwmssql2.rpi.reliableparts.com (172.16.11.146 / 00:50:56:BB:F4:19),usx01vsdb2bpoc2.rpi.reliableparts.com (172.16.11.163 / 00:50:56:BB:BD:D1),usx01vsdwebfoc1.rpi.reliableparts.com (172.16.11.118 / 00:50:56:BB:E7:29),usx01vspfs01.rpi.reliableparts.com (172.16.11.19 / 00:50:56:BB:11:D1),usx01vspvmgw01.rpi.reliableparts.com (172.16.11.149 / 00:50:56:BB:4C:76),usx01vspvmbu01.rpi.reliableparts.com (172.16.11.112 / 00:50:56:BB:FB:B4),usx01vsdrpl02.rpi.reliableparts.com (172.16.11.110 / 00:50:56:BB:93:53),usx01vsppam360.rpi.reliableparts.com (172.16.11.109 / 00:50:56:BB:8C:F0),usx01vsdwmsapp5.rpi.reliableparts.com (172.16.11.108 / 00:50:56:BB:D3:22),usx01vspwmsts3.rpi.reliableparts.com (172.16.11.161 / 00:50:56:BB:19:B3),usx01vsprdsssh1.rpi.reliableparts.com (172.16.11.113 / 00:50:56:BB:C4:BC),usx01vspapp02.rpi.reliableparts.com (172.16.11.196 / 00:50:56:BB:FB:27),usx01vspwebfoc1.rpi.reliableparts.com (172.16.11.116 / 00:50:56:BB:2F:3A),usx01vsdb2bpoc3.rpi.reliableparts.com (172.16.11.169 / 00:50:56:BB:D6:C7),usx01vsdwmsapp1.rpi.reliableparts.com (172.16.11.125 / 00:50:56:AD:4C:E7),usx01vspsql03.rpi.reliableparts.com (172.16.11.106 / 00:50:56:BB:ED:74),usx01vsdwmsapp6.rpi.reliableparts.com (172.16.11.120 / 00:50:56:BB:2A:86),172.16.11.180 (00:50:56:BB:33:E4),usx01vspwmsgw6.rpi.reliableparts.com (172.16.11.160 / 00:50:56:BB:3F:E2),usx01vspitops.rpi.reliableparts.com (172.16.11.197 / 00:50:56:BB:9D:01),usx01vspftp02.rpi.reliableparts.com (172.16.11.137 / 00:50:56:BB:97:35),usx01vspwmsts4.rpi.reliableparts.com (172.16.11.148 / 00:50:56:BB:E8:EB),usx01vspwmsgw1.rpi.reliableparts.com (172.16.11.122 / 00:50:56:BB:AD:19),usx01vspwmssql1.rpi.reliableparts.com (172.16.11.132 / 00:50:56:BB:40:44),usx01vspwssql01.rpi.reliableparts.com (172.16.11.195 / 00:50:56:BB:AC:57),usx01vspazur02.rpi.reliableparts.com (172.16.11.119 / 00:50:56:BB:CD:71),usx01vspapch03.rpi.reliableparts.com (172.16.11.105 / 00:50:56:BB:F1:3E)",70,17-Apr-2026,No,The remote SSL/TLS server is supporting Diffie-Hellman ephemeral   (DHE) Key Exchange algorithms and thus could be prone to a denial of service (DoS)   vulnerability.,'DHE' cipher suites accepted by this service via the TLSv1.2 protocol: TLS_DHE_RSA_WITH_AES_128_CBC_SHA256 TLS_DHE_RSA_WITH_AES_128_GCM_SHA256 TLS_DHE_RSA_WITH_AES_256_CBC_SHA256 TLS_DHE_RSA_WITH_AES_256_GCM_SHA384 --- 'DHE' cipher suites accepted by this service via the TLSv1.2 protocol: TLS_DHE_RSA_WITH_AES_128_GCM_SHA256 TLS_DHE_RSA_WITH_AES_256_GCM_SHA384 --- 'DHE' cipher suites accepted by this service via the TLSv1.1 protocol: TLS_DHE_RSA_WITH_AES_128_CBC_SHA TLS_DHE_RSA_WITH_AES_256_CBC_SHA TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA 'DHE' cipher suites accepted by this service via the TLSv1.2 protocol: TLS_DHE_RSA_WITH_AES_128_CBC_SHA TLS_DHE_RSA_WITH_AES_128_CBC_SHA256 TLS_DHE_RSA_WITH_AES_128_GCM_SHA256 TLS_DHE_RSA_WITH_AES_256_CBC_SHA TLS_DHE_RSA_WITH_AES_256_CBC_SHA256 TLS_DHE_RSA_WITH_AES_256_GCM_SHA384 TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA --- 'DHE' cipher suites accepted by this service via the TLSv1.1 protocol: TLS_DHE_RSA_WITH_AES_128_CBC_SHA TLS_DHE_RSA_WITH_AES_256_CBC_SHA TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA 'DHE' cipher suites accepted by this service via the TLSv1.2 protocol: TLS_DHE_RSA_WITH_AES_128_CBC_SHA TLS_DHE_RSA_WITH_AES_128_CBC_SHA256 TLS_DHE_RSA_WITH_AES_128_CCM TLS_DHE_RSA_WITH_AES_128_CCM_8 TLS_DHE_RSA_WITH_AES_128_GCM_SHA256 TLS_DHE_RSA_WITH_AES_256_CBC_SHA TLS_DHE_RSA_WITH_AES_256_CBC_SHA256 TLS_DHE_RSA_WITH_AES_256_CCM TLS_DHE_RSA_WITH_AES_256_CCM_8 TLS_DHE_RSA_WITH_AES_256_GCM_SHA384 TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256 TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384 TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256 TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256 TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256 --- 'DHE' cipher suites accepted by this service via the TLSv1.0 protocol: TLS_DHE_RSA_WITH_AES_128_CBC_SHA TLS_DHE_RSA_WITH_AES_256_CBC_SHA 'DHE' cipher suites accepted by this service via the TLSv1.1 protocol: TLS_DHE_RSA_WITH_AES_128_CBC_SHA TLS_DHE_RSA_WITH_AES_256_CBC_SHA 'DHE' cipher suites accepted by this service via the TLSv1.2 protocol: TLS_DHE_RSA_WITH_AES_128_CBC_SHA TLS_DHE_RSA_WITH_AES_128_GCM_SHA256 TLS_DHE_RSA_WITH_AES_256_CBC_SHA TLS_DHE_RSA_WITH_AES_256_GCM_SHA384 --- 'DHE' cipher suites accepted by this service via the TLSv1.1 protocol: TLS_DHE_RSA_WITH_AES_128_CBC_SHA TLS_DHE_RSA_WITH_AES_256_CBC_SHA 'DHE' cipher suites accepted by this service via the TLSv1.2 protocol: TLS_DHE_RSA_WITH_AES_128_CBC_SHA TLS_DHE_RSA_WITH_AES_128_CBC_SHA256 TLS_DHE_RSA_WITH_AES_128_GCM_SHA256 TLS_DHE_RSA_WITH_AES_256_CBC_SHA TLS_DHE_RSA_WITH_AES_256_CBC_SHA256 TLS_DHE_RSA_WITH_AES_256_GCM_SHA384 TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256,"This vulnerability allows remote attackers (from the client side)   to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE   modular-exponentiation calculations, also known as a D(HE)ater attack.   There could be an increase in CPU usage in the affected component. For OpenSSH, users may observe   issues such as a slowdown in SSH connections.","'- DHE key exchange should be disabled if no other mitigation   mechanism can be used and either elliptic-curve variant of Diffie-Hellman (ECDHE) or RSA key   exchange is supported by the clients. The fact that RSA key exchange is not forward secret should   be considered.   - Limit the maximum number of concurrent connections in e.g. the configuration of the remote   server. For Postfix this limit can be configured via 'smtpd_client_new_tls_session_rate_limit'   option, for other products please refer to the manual of the product in question on configuration   possibilities.","'- CVE-2002-20001: The Diffie-Hellman Key Agreement Protocol   allows remote attackers (from the client side) to send arbitrary numbers that are actually not   public keys, and trigger expensive server-side DHE modular-exponentiation calculations, aka a   D(HE)ater attack. The client needs very little CPU resources and network bandwidth. The attack may   be more disruptive in cases where a client can require a server to select its largest supported   key size. The basic attack scenario is that the client must claim that it can only communicate   with DHE, and the server must be configured to allow DHE.   - CVE-2022-40735: The Diffie-Hellman Key Agreement Protocol allows use of long exponents that   arguably make certain calculations unnecessarily expensive, because the 1996 van Oorschot and   Wiener paper found that '(appropriately) short exponents' can be used when there are adequate   subgroup constraints, and these short exponents can lead to less expensive calculations than for   long exponents. This issue is different from CVE-2002-20001 because it is based on an observation   about exponent size, rather than an observation about numbers that are not public keys. The   specific situations in which calculation expense would constitute a server-side vulnerability   depend on the protocol (e.g., TLS, SSH, or IKE) and the DHE implementation details. In general,   there might be an availability concern because of server-side resource consumption from DHE   modular-exponentiation calculations. Finally, it is possible for an attacker to exploit this   vulnerability and CVE-2002-20001 together.   - CVE-2024-41996: Validating the order of the public keys in the Diffie-Hellman Key Agreement   Protocol, when an approved safe prime is used, allows remote attackers (from the client side) to   trigger unnecessarily expensive server-side DHE modular-exponentiation calculations. The client   may cause asymmetric resource consumption. The basic attack scenario is that the client must claim   that it can only communicate with DHE, and the server must be configured to allow DHE and validate   the order of the public key.","Checks the supported cipher suites of the remote SSL/TLS   server. Details: Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSL/TLS, D(HE)ater) (OID: 1.3.6.1.4.1.25623.1.0.117840) Version used: 2026-03-13T05:54:58Z ","https://www.researchgate.net/profile/Anton-Stiglic-2/publication/2401745_Security_Issues_in_the_Diffie-Hellman_Key_Agreement_Protocol,https://github.com/Balasys/dheater",Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
High,7.5,Python DoS Vulnerability (Dec 2025) - Windows,5050/tcp (mmcc),1.3.6.1.4.1.25623.1.0.125554,,usx01vspflyn01.rpi.reliableparts.com (172.16.11.101 / 00:50:56:BB:BA:64),1,17-Apr-2026,No,Python is prone to a denial of service (DoS) vulnerability.,Installed version: 3.12.9 Fixed version:     3.13.11 Installation path / port:       5050/tcp,,"Update to version 3.14.1 or later, or to the latest   maintenance release of your Python version series (3.10.x, 3.12.x) once patches   are available. Please see the references for more information.","When reading an HTTP response from a server, if no read amount   is specified, the default behavior will be to use Content-Length. This allows a malicious   server to cause the client to read large amounts of data into memory, potentially causing   out-of-memory (OOM) or other DoS conditions.","Checks if a vulnerable version is present on the target host. Details: Python DoS Vulnerability (Dec 2025) - Windows (OID: 1.3.6.1.4.1.25623.1.0.125554) Version used: 2026-02-11T06:03:51Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
High,7.5,CKEditor 4.x < 4.18.0 Multiple Vulnerabilities - Windows,"443/tcp (https),80/tcp (http)",1.3.6.1.4.1.25623.1.0.147816,"CVE-2022-24728, CVE-2022-24729",usx01vspintr02.rpi.reliableparts.com (172.16.11.28 / 00:50:56:AD:85:39),1,17-Apr-2026,No,CKEditor is prone to multiple vulnerabilities.,Installed version: 4.5.6 Fixed version:     4.18.0 Installation path / port:       /ckeditor,,Update to version 4.18.0 or later,The following vulnerabilities exist:   - CVE-2022-24728: HTML processing vulnerability allowing to execute JavaScript code   - CVE-2022-24729: Regular expression denial of service (DoS) in dialog plugin,"Checks if a vulnerable version is present on the target host. Details: CKEditor 4.x < 4.18.0 Multiple Vulnerabilities - Windows (OID: 1.3.6.1.4.1.25623.1.0.147816) Version used: 2022-03-30T03:03:44Z ","https://github.com/ckeditor/ckeditor4/security/advisories/GHSA-4fc4-4p5g-6w89,https://github.com/ckeditor/ckeditor4/security/advisories/GHSA-f6rf-9m92-x2hh",Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
High,7.5,Apache Tomcat Request Smuggling Vulnerability (Oct 2022) - Windows,8080/tcp (http-alt),1.3.6.1.4.1.25623.1.0.148840,CVE-2022-42252,"usx01vspwf01.rpi.reliableparts.com (172.16.11.121 / 00:50:56:BB:49:EE),usx01vspwfrpt01.rpi.reliableparts.com (172.16.11.27 / 00:50:56:BB:3C:CC)",2,17-Apr-2026,No,Apache Tomcat is prone to a request smuggling vulnerability.,Installed version: 9.0.48 Fixed version:     9.0.68 Installation path / port:       8080/tcp,,"Update to version 8.5.83, 9.0.68, 10.0.27, 10.1.1 or later.","If Tomcat is configured to ignore invalid HTTP headers via   setting rejectIllegalHeader to false (the default for 8.5.x only), Tomcat does not reject a   request containing an invalid Content-Length header making a request smuggling attack possible if   Tomcat is located behind a reverse proxy that also fails to reject the request with the invalid   header.","Checks if a vulnerable version is present on the target host. Details: Apache Tomcat Request Smuggling Vulnerability (Oct 2022) - Windows (OID: 1.3.6.1.4.1.25623.1.0.148840) Version used: 2023-10-18T05:05:17Z ",https://lists.apache.org/thread/zzcxzvqfdqn515zfs3dxb7n8gty589sq,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
High,7.5,Apache Tomcat JsonErrorReportValve Injection Vulnerability (Jan 2023) - Windows,8080/tcp (http-alt),1.3.6.1.4.1.25623.1.0.149062,CVE-2022-45143,"usx01vspwf01.rpi.reliableparts.com (172.16.11.121 / 00:50:56:BB:49:EE),usx01vspwfrpt01.rpi.reliableparts.com (172.16.11.27 / 00:50:56:BB:3C:CC)",2,17-Apr-2026,No,Apache Tomcat is prone to a JsonErrorReportValve injection   vulnerability.,Installed version: 9.0.48 Fixed version:     9.0.69 Installation path / port:       8080/tcp,,"Update to version 8.5.84, 9.0.69, 10.1.2 or later.","The JsonErrorReportValve did not escape the type, message or   description values. In some circumstances these are constructed from user provided data and it   was therefore possible for users to supply values that invalidated or manipulated the JSON   output.","Checks if a vulnerable version is present on the target host. Details: Apache Tomcat JsonErrorReportValve Injection Vulnerability (Jan 2023) - Wind... (OID: 1.3.6.1.4.1.25623.1.0.149062) Version used: 2025-01-21T05:37:33Z ","https://lists.apache.org/thread/yqkd183xrw3wqvnpcg3osbcryq85fkzj,https://tomcat.apache.org/security-10.html#Fixed_in_Apache_Tomcat_10.1.2,https://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.69,https://tomcat.apache.org/security-8.html#Fixed_in_Apache_Tomcat_8.5.84",Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
High,7.5,Apache Tomcat Request Smuggling Vulnerability (Nov 2023) - Windows,8080/tcp (http-alt),1.3.6.1.4.1.25623.1.0.151317,,"usx01vspwf01.rpi.reliableparts.com (172.16.11.121 / 00:50:56:BB:49:EE),usx01vsdrpl01.rpi.reliableparts.com (172.16.11.54 / 00:0C:29:BB:22:63),usx01vspwfrpt01.rpi.reliableparts.com (172.16.11.27 / 00:50:56:BB:3C:CC)",3,17-Apr-2026,No,Apache Tomcat is prone to a request smuggling vulnerability.,Installed version: 9.0.48 Fixed version:     9.0.83 Installation path / port:       8080/tcp --- Installed version: 9.0.78 Fixed version:     9.0.83 Installation path / port:       8080/tcp,,"Update to version 8.5.96, 9.0.83, 10.1.16, 11.0.0-M11 or   later.",Tomcat does not correctly parse HTTP trailer headers. A   specially crafted trailer header that exceeds the header size limit could cause Tomcat to treat a   single request as multiple requests leading to the possibility of request smuggling when behind a   reverse proxy.,"Checks if a vulnerable version is present on the target host. Details: Apache Tomcat Request Smuggling Vulnerability (Nov 2023) - Windows (OID: 1.3.6.1.4.1.25623.1.0.151317) Version used: 2023-12-07T05:05:41Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
High,7.5,"Oracle MySQL Server 8.x <= 8.0.35, 8.1.x <= 8.2.0 Security Update (cpujan2024) - Windows",3306/tcp (mysql),1.3.6.1.4.1.25623.1.0.151559,,usx01vsdb2bpoc1.rpi.reliableparts.com (172.16.11.147 / 00:50:56:BB:A4:0B),1,17-Apr-2026,No,Oracle MySQL Server is prone to multiple vulnerabilities.,Installed version: 8.0.34 Fixed version:     8.0.36 Installation path / port:       3306/tcp,,"Update to version 8.0.36, 8.2.1 or later.",,"Checks if a vulnerable version is present on the target host. Details: Oracle MySQL Server 8.x <= 8.0.35, 8.1.x <= 8.2.0 Security Update (cpujan202... (OID: 1.3.6.1.4.1.25623.1.0.151559) Version used: 2025-09-09T05:38:49Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
High,7.5,Apache HTTP Server < 2.4.59 Multiple Vulnerabilities - Linux,80/tcp (http),1.3.6.1.4.1.25623.1.0.152039,,172.16.11.13 (00:50:56:BB:67:04),1,17-Apr-2026,No,Apache HTTP Server is prone to multiple vulnerabilities.,Installed version: 2.4.52 Fixed version:     2.4.59 Installation path / port:       80/tcp,,Update to version 2.4.59 or later.,The following vulnerabilities exist:   - CVE-2023-38709: HTTP response splitting   - CVE-2024-24795: HTTP response splitting in multiple modules   - CVE-2024-27316: HTTP/2 DoS by memory exhaustion on endless continuation frames,"Checks if a vulnerable version is present on the target host. Details: Apache HTTP Server < 2.4.59 Multiple Vulnerabilities - Linux (OID: 1.3.6.1.4.1.25623.1.0.152039) Version used: 2024-06-07T05:05:42Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
High,7.5,Apache HTTP Server < 2.4.59 Multiple Vulnerabilities - Windows,"80/tcp (http),443/tcp (https)",1.3.6.1.4.1.25623.1.0.152040,,"172.16.11.64 (00:50:56:BB:33:E4),usx01vspapch04.rpi.reliableparts.com (172.16.11.136 / 00:50:56:BB:06:62),usx01vsdrpl01.rpi.reliableparts.com (172.16.11.54 / 00:0C:29:BB:22:63),172.16.11.105 (00:50:56:BB:F1:3E),usx01vspapch03.rpi.reliableparts.com (172.16.11.105 / 00:50:56:BB:F1:3E)",5,17-Apr-2026,No,Apache HTTP Server is prone to multiple vulnerabilities.,Installed version: 2.4.57 Fixed version:     2.4.59 Installation path / port:       80/tcp --- Installed version: 2.4.57 Fixed version:     2.4.59 Installation path / port:       443/tcp,,Update to version 2.4.59 or later.,The following vulnerabilities exist:   - CVE-2023-38709: HTTP response splitting   - CVE-2024-24795: HTTP response splitting in multiple modules   - CVE-2024-27316: HTTP/2 DoS by memory exhaustion on endless continuation frames,"Checks if a vulnerable version is present on the target host. Details: Apache HTTP Server < 2.4.59 Multiple Vulnerabilities - Windows (OID: 1.3.6.1.4.1.25623.1.0.152040) Version used: 2024-06-07T05:05:42Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
High,7.5,Apache HTTP Server 2.4.0 - 2.4.61 SSRF Vulnerability - Windows,"80/tcp (http),443/tcp (https)",1.3.6.1.4.1.25623.1.0.152690,,"172.16.11.64 (00:50:56:BB:33:E4),usx01vspapch04.rpi.reliableparts.com (172.16.11.136 / 00:50:56:BB:06:62),usx01vsdrpl01.rpi.reliableparts.com (172.16.11.54 / 00:0C:29:BB:22:63),172.16.11.105 (00:50:56:BB:F1:3E),usx01vspapch03.rpi.reliableparts.com (172.16.11.105 / 00:50:56:BB:F1:3E)",5,17-Apr-2026,No,Apache HTTP Server is prone to a server-side request forgery   (SSRF) vulnerability with mod_rewrite in server/vhost context.,Installed version: 2.4.57 Fixed version:     2.4.62 Installation path / port:       80/tcp --- Installed version: 2.4.57 Fixed version:     2.4.62 Installation path / port:       443/tcp,,Update to version 2.4.62 or later.,"SSRF in Apache HTTP Server on Windows with mod_rewrite in   server/vhost context, allows to potentially leak NTML hashes to a malicious server via SSRF and   malicious requests.","Checks if a vulnerable version is present on the target host. Details: Apache HTTP Server 2.4.0 - 2.4.61 SSRF Vulnerability - Windows (OID: 1.3.6.1.4.1.25623.1.0.152690) Version used: 2024-08-09T05:05:42Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
High,7.5,OpenSSL DoS Vulnerability (20240903) - Windows,"80/tcp (http),443/tcp (https)",1.3.6.1.4.1.25623.1.0.153010,,"172.16.11.64 (00:50:56:BB:33:E4),usx01vspapch04.rpi.reliableparts.com (172.16.11.136 / 00:50:56:BB:06:62),usx01vsdrpl01.rpi.reliableparts.com (172.16.11.54 / 00:0C:29:BB:22:63),172.16.11.105 (00:50:56:BB:F1:3E),usx01vspapch03.rpi.reliableparts.com (172.16.11.105 / 00:50:56:BB:F1:3E)",5,17-Apr-2026,No,OpenSSL is prone to a denial of service (DoS) vulnerability.,Installed version: 3.1.2 Fixed version:     3.1.7 Installation path / port:       80/tcp --- Installed version: 3.1.2 Fixed version:     3.1.7 Installation path / port:       443/tcp,Abnormal termination of an application can a cause a denial of   service.,"Update to version 3.0.15, 3.1.7, 3.2.3, 3.3.2 or later.","Applications performing certificate name checks (e.g., TLS   clients checking server certificates) may attempt to read an invalid memory address resulting in   abnormal termination of the application process.","Checks if a vulnerable version is present on the target host. Details: OpenSSL DoS Vulnerability (20240903) - Windows (OID: 1.3.6.1.4.1.25623.1.0.153010) Version used: 2025-06-04T05:40:50Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
